,Wikipedia Movie ID,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
2400,23835705,0.0,0.0,0.0,0.579,0.438,0.0,0.0,0.0
2401,15310776,6.337,9.685,2.055,11.542,8.721,10.708,2.687,9.323
2402,10521327,0.781,0.0,0.555,1.7810000000000001,0.79,1.5130000000000001,0.234,1.939
2403,16036739,5.211,6.147,4.543,11.144,11.39,6.1899999999999995,6.154999999999999,13.636
2404,34983677,3.644,0.0,2.86,4.24,2.158,3.605,1.453,2.6799999999999997
2405,5569839,5.068,9.009,3.088,12.522,5.509,5.806,2.368,8.031
2406,2750980,2.48,1.922,1.7349999999999999,2.743,1.387,0.875,0.172,1.391
2407,19788399,0.022,5.811,0.0,0.23399999999999999,9.317,0.122,3.846,6.945
2408,7994800,0.853,2.868,0.359,1.62,2.044,0.438,0.477,1.6099999999999999
2409,24464878,6.822,2.959,0.656,13.435,1.568,8.365,7.546,2.039
2410,27904525,10.251,5.461,3.0629999999999997,10.138,5.798,4.498,2.85,5.931
2411,11840982,0.9820000000000001,3.323,0.656,2.11,3.828,1.7389999999999999,1.4689999999999999,4.266
2412,19664197,2.388,0.562,0.336,2.635,3.092,1.5899999999999999,1.726,4.602
2413,7584180,0.574,0.398,0.656,0.843,1.091,0.915,0.578,1.9220000000000002
2414,13512759,2.005,2.841,2.7489999999999997,2.366,5.572,2.9699999999999998,0.516,4.272
2415,10735637,6.769,4.952,6.074,9.826,4.555,3.96,5.101,2.813
2416,28492772,0.574,0.398,0.656,1.412,0.414,0.915,0.578,1.234
2417,14823527,2.547,3.625,1.617,1.407,7.035,3.5189999999999997,1.023,8.236
2418,31217842,0.0,0.8979999999999999,0.586,0.0,2.188,0.0,0.531,1.234
2419,1344253,6.433,13.391,1.351,5.166,15.358,6.077,3.937,16.512
2420,35618756,0.364,0.523,0.758,0.281,1.232,0.0,0.0,0.789
2421,5840102,7.735,7.159,3.2350000000000003,10.955,19.056,2.645,5.154,16.152
2422,2037975,7.85,7.57,4.987,11.773,15.762,8.061,6.1,7.414000000000001
2423,17593898,0.0,0.8360000000000001,0.0,0.734,3.096,0.61,0.602,1.367
2424,32298508,4.801,17.241,3.166,4.71,27.385,3.538,11.222,18.767
2425,16054694,0.6479999999999999,2.234,0.656,1.89,2.691,0.915,1.062,4.694
2426,26525437,1.7810000000000001,0.6950000000000001,0.656,2.046,2.356,2.151,1.148,1.743
2427,6631386,2.335,8.422,0.469,6.997,11.369,5.566,2.71,12.733
2428,13298228,4.6370000000000005,3.6399999999999997,1.008,4.684,2.459,1.924,2.468,1.908
2429,20633025,0.853,0.0,0.0,0.797,0.0,0.8,0.672,0.391
2430,1699911,0.0,1.0,0.0,0.0,1.563,0.0,0.0,0.9770000000000001
2431,12606007,0.0,1.343,0.0,2.082,3.298,0.0,0.0,1.5070000000000001
2432,25160272,3.473,1.054,1.495,5.0809999999999995,0.288,3.806,2.7729999999999997,0.469
2433,24397723,0.0,0.0,0.0,0.962,0.891,0.797,0.0,0.445
2434,338849,24.069,16.419,7.0969999999999995,30.59,19.971,17.045,9.985,31.354
