TSNE1,TSNE2,Labels
53.942875,-78.698494,9
-53.48155,52.49478,0
10.554991,-14.76589,5
71.53068,38.54067,4
-1.908783,-52.101727,7
-10.497044,39.027695,8
-86.54946,-3.2514827,6
-73.89281,27.818674,6
-28.643263,13.471697,3
4.457996,27.521938,8
-12.516108,22.398523,3
70.734955,-28.794598,1
-16.736132,-5.2548304,3
36.43342,4.994031,5
-62.992462,-56.9816,2
-84.828476,34.43141,6
47.728416,-21.511978,9
-42.05011,45.41125,0
-62.73462,-9.395293,6
-8.953342,17.274784,3
1.5265266,-16.944927,3
-21.817745,2.666585,3
89.23607,-1.5354881,1
58.81158,3.131943,1
-30.80716,4.955268,3
-9.277044,10.616534,3
-69.2917,-51.98483,2
-9.735086,48.21444,8
32.049934,5.0392237,5
-41.798794,0.4322217,3
69.634796,1.8147836,1
61.686928,-37.06687,9
-77.197914,-33.411175,2
-14.937092,67.033394,8
24.211449,-24.71403,9
41.338463,53.681553,4
25.833227,-12.315343,5
33.536823,58.62806,4
-32.6639,47.100494,0
14.696056,69.99911,8
-88.454185,-14.540447,6
47.790268,29.971397,4
52.309086,16.834846,5
48.584995,22.245127,4
-72.46363,-11.867916,6
-33.288265,71.077545,0
40.461147,42.387646,4
72.84874,0.75696766,1
-30.36828,-13.332171,3
16.496363,6.961153,5
-34.80529,-1.214489,3
-26.243141,42.651485,0
64.843285,-34.176247,9
7.819007,-51.272636,7
-16.299639,13.219148,3
-80.39432,-33.60483,2
-2.2553113,-60.68254,7
39.87872,66.14203,4
-52.61501,-7.916503,6
-17.385403,-51.573215,7
10.687942,-30.606709,9
-28.991838,-7.056055,3
36.435287,-26.64996,9
-3.7815745,22.931335,8
22.90242,14.8523,5
-21.286058,3.800936,3
11.305701,-39.993587,7
-21.664198,0.5316025,3
12.9194975,-39.574642,9
63.25002,51.95086,4
1.2841654,-26.382107,7
89.36648,-1.8828436,1
-45.461266,-37.040142,2
33.52738,49.14463,4
-7.9683495,-69.92782,7
40.755615,5.896273,5
-40.89704,41.457138,0
-64.3936,-31.088425,2
-10.393159,-25.15927,3
91.0065,21.183113,1
-54.003426,14.911823,0
-62.76994,-41.162846,2
-74.05836,-44.428776,2
8.158886,-40.83213,7
33.35095,49.301636,4
40.334095,-13.145782,5
50.52551,-21.67845,9
79.32994,37.708073,4
-56.54502,51.014614,0
-62.602486,39.1876,0
-25.617155,67.52334,0
37.1342,-38.906525,9
-17.593594,2.2318323,3
36.401543,5.000639,5
35.261555,43.09409,4
74.73805,32.766773,4
1.1506451,19.612059,5
-12.195081,4.7439766,3
11.29345,-69.80457,7
-75.77658,-1.001029,6
-33.001274,-7.732802,3
-53.032578,16.628065,0
21.020918,10.164387,5
23.822906,-46.83651,9
90.492065,-8.182655,1
87.82415,-22.959715,1
29.38956,-33.590088,9
16.938831,-1.5421214,5
-4.5890217,-45.786427,7
70.376724,-34.51325,1
13.518007,-13.236441,5
26.631674,30.873749,5
89.25734,-29.055664,1
81.87382,50.517967,4
3.9912326,25.529053,8
-44.10591,-3.177649,3
55.827473,26.206284,4
-0.56566423,29.123909,8
-21.014257,13.651122,3
10.905581,0.1815369,5
-50.231724,21.069416,0
32.756706,40.204056,4
-25.72441,-29.776196,3
4.6003814,67.41547,8
-11.201911,37.245876,8
61.060356,65.4784,4
5.1777024,77.2112,8
-52.330322,-48.824966,2
8.485985,-22.258827,5
-90.65646,-35.26782,2
95.51768,-11.786706,1
-41.891323,-42.299114,2
-85.63487,18.622494,6
44.345398,1.4188068,5
-0.9758284,-66.378006,7
22.072172,68.73489,8
-36.26522,-16.958946,3
-23.502499,74.52944,8
-38.01531,-23.336628,3
-49.741962,11.375281,0
62.008553,-50.82193,9
25.057186,-9.137975,5
14.238644,32.006935,8
-71.518776,-56.489,2
-53.656513,51.16053,0
51.353493,14.005535,5
29.31054,-42.967205,9
-11.528817,16.917763,3
-55.498123,-56.262302,2
-83.46112,4.0851727,6
-66.21704,-39.74585,2
106.6527,-16.538778,1
-31.317375,56.290127,0
-80.728935,-18.151726,6
80.961975,14.312379,1
-31.757063,-47.589676,7
32.54526,-32.366547,9
-98.08261,3.5494702,6
19.059645,-18.448832,5
-6.6536427,-57.364883,7
-97.77932,-0.7630677,6
73.52714,-33.878796,1
-95.96574,-6.8611164,6
-37.529358,46.30932,0
76.64487,29.01313,4
-8.858509,-7.8445897,3
-78.30234,-51.4411,2
-70.33147,4.1486716,6
61.95878,10.76417,1
31.273695,-22.047558,9
44.863277,25.837181,4
62.362656,-33.02503,9
54.21229,-78.662476,9
88.71656,-8.946833,1
-93.655174,-19.29249,6
52.94334,33.647343,4
-57.544846,-62.808926,2
9.704414,-75.11418,7
-6.719891,21.694845,3
77.15588,4.432471,1
-72.8405,-2.6389294,6
-97.3584,-14.983983,6
13.122124,54.08444,8
33.00717,65.30321,8
-48.048157,-17.953804,2
87.8181,10.752847,1
93.63727,-20.500877,1
-21.593971,47.75622,0
-41.23856,-44.901226,2
-90.5757,-33.225094,2
-24.354383,7.350526,3
-55.583523,-65.76003,2
-50.05289,-33.36726,2
-55.75666,-46.63759,2
-50.259117,-11.959102,3
73.09805,7.18123,1
20.558628,-48.31501,9
50.576332,40.873093,4
35.000465,-25.423016,9
94.29892,-34.684315,1
-43.499535,-16.428968,3
-11.0651045,-73.741165,7
17.895033,-3.360231,5
26.813292,-12.087889,5
-18.74811,35.661106,0
53.184456,-31.847332,9
-104.64335,-5.0524793,6
-0.504935,-3.6741562,3
10.142465,3.6706345,5
-46.611057,37.559933,0
77.29402,46.64373,4
-3.4947393,-10.370303,3
-77.03139,36.89062,6
-26.54127,-73.392136,7
-26.805672,73.08491,0
-34.517452,-60.932945,7
9.50128,19.318966,5
-19.138205,67.43947,8
-53.495598,-33.85071,2
-36.27896,31.385803,0
2.3265316,-24.236652,7
